Scheme Name,Category,Fund manager,ISIN,Manager strike rate,AUM in Cr,Expense ratio,Current Status,Fund score New,Percentile Rank,Strength,Weakness,Who should invest,Who should avoid investing
Samco ELSS Tax Saver Fund(G)-Direct Plan,ELSS,Nirali Bhansali,INF0K1H01065,0%,454,1.00%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is%.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
Shriram Long Term Equity Fund(G)-Direct Plan,ELSS,Deepak Ramaraju,INF680P01158,40%,42,0.60%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 40%.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
Taurus Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Ankit Tikmany,INF044D01BU9,50%,263,2.59%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
LIC MF Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Amit Nadekar,INF767K01EG3,50%,414,1.74%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
HSBC Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Vihang Naik,INF336L01DH5,33%,3350,1.37%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 33%.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
JM Flexicap Fund(G)-Direct Plan,Flexi Cap Fund,Satish Ramanathan,INF192K01CC7,67%,249,1.76%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 66%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
Tata Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Sonam Udasi,INF277K015K0,35%,2279,0.73%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 35%.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
WOC Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Ramesh Mantri,INF03VN01530,100%,926,0.55%,Ineligible,#N/A,#N/A,Very good - Fund Manager strike rate is 100%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
Bank of India Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Alok Singh,INF761K01FF5,78%,351,0.59%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 77%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
Baroda BNP Paribas Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Sanjay Chawla,INF251K01QZ2,38%,1487,0.37%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 38%.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
ICICI Pru Flexicap Fund(G)-Direct Plan,Flexi Cap Fund,Rajat Chandak,INF109KC1R14,63%,11861,0.44%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 62%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
IDBI Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Alok Ranjan,INF397L01HF2,33%,387,1.17%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 33%.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
Invesco India Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Amit Ganatra,INF205KA1494,44%,969,0.47%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 43%.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
Mahindra Manulife Flexi Cap Yojana(G)-Direct Plan,Flexi Cap Fund,Manish Lodha,INF174V01AS2,70%,991,0.24%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 70%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
Navi Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Aditya Mulki,INF959L01DT9,25%,221,0.43%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 25%.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
Nippon India Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Manish Gunwani,INF204KC1121,40%,4297,0.64%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 40%.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
Samco Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Nirali Bhansali,INF0K1H01024,0%,700,0.87%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is%.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
Shriram Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Deepak Ramaraju,INF680P01109,40%,66,0.65%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 40%.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
Sundaram Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Sudhir Kedia,INF903JA1LE2,50%,1901,0.21%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions","Short term investors and investors who would like to stick to one particular market cap
"
